ID;ParamName;ParamID;Unit;ScaleBeginning;Ust0;Ust1;Ust2;Ust3;Ust4;Ust5;Ust6;Ust7;Ust8;Ust9;Ust10;Ust11;ScaleEnd;Hist;VeracityBottom;VeracityTop;AdressBeginning;Place;CtrlUst;OpMask;SignMask;KF;NDiap;AdressBeginningKF;PLC;OPCPath;PlaceName;TypeName
27;"ПОЖАР НА ПЛОЩАДКЕ ПНС МН «КУЙБЫШЕВ – УНЕЧА – МОЛЗЫРЬ-1» (ПРИЕМ ИЗ МПСА ПТ)";"DC707a";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14132;1;"1";"1";"1";"0";"2";11168;0;"Fires.DC707a";"ССН";"Дискретные параметры с контролем целостности"
28;"ПОЖАР В РП (ПРИЕМ ИЗ МПСА ПТ)";"DC708a";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14164;1;"1";"1";"1";"0";"2";11172;0;"Fires.DC708a";"ССН";"Дискретные параметры с контролем целостности"
29;"ПОЖАР В ПОМЕЩЕНИИ ЧРП ССН (ПРИЕМ ИЗ МПСА ПТ)";"DC709a";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14196;1;"1";"1";"1";"0";"2";11176;0;"Fires.DC709a";"ССН";"Дискретные параметры с контролем целостности"
30;"ПОЖАР НА ПЛОЩАДКЕ ССН (ПРИЕМ ИЗ МПСА ПТ)";"DC710a";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14228;1;"1";"1";"1";"0";"2";11180;0;"Fires.DC710a";"ССН";"Дискретные параметры с контролем целостности"
31;"ПОЖАР В НАСОСНОМ ЗАЛЕ НАСОСНОЙ «ЛОПАТИНО-КНПЗ» (ПРИЕМ ИЗ МПСА ПТ)";"DC711a";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14260;1;"1";"1";"1";"0";"2";11184;0;"Fires.DC711a";"ССН";"Дискретные параметры с контролем целостности"
32;"ПОЖАР В ЩИТОВОЙ КИП (ССН) (ПРИЕМ ИЗ МПСА ПТ)";"DC713a";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14292;1;"1";"1";"1";"0";"2";11188;0;"Fires.DC713a";"ССН";"Дискретные параметры с контролем целостности"
33;"ПОЖАР В ПОМЕЩЕНИИ КИП (ПРИЕМ ИЗ МПСА ПТ)";"DC717a";"мА";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"20";"0";"3,7";"20,3";14324;1;"1";"1";"1";"0";"2";11192;0;"Fires.DC717a";"ССН";"Дискретные параметры с контролем целостности"
34;"ТЕМПЕРАТУРА ВОЗДУХА В ШКАФУ ССН.УСО.2(2)";"CST01_22";"°C";"-20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"3,7";"20,3";14356;7;"1";"1";"1";"0";"1";11196;0;"DG.USO2_2.CST01_22";"ССН.УСО.2(2)";"Базовый тип с наименованием по умолчанию"
35;"ПНА №036.1 ТЕМПЕРАТУРА НИЖНЕГО ПОДШИПНИКА ЭД";"TT553";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14388;8;"1";"1";"1";"0";"1";11200;0;"PNA036_1.TT553";"ПНА №036.1";"Базовый тип с наименованием по умолчанию"
36;"ПНА №036.1 ТЕМПЕРАТУРА ВЕРХНЕГО ПОДШИПНИКА ЭД (ТОЧКА 1)";"TT554_1";"°C";"-50";"0";"0";"0";"0";"0";"0";"0";"0";"65";"75";"0";"0";"150";"0";"3,7";"20,3";14420;8;"1";"1";"1";"0";"1";11204;0;"PNA036_1.TT554_1";"ПНА №036.1";"Базовый тип с наименованием по умолчанию"
