;
; HistoricalTag
;
Item Reference,Scan Rate,Deadband,Enabled
"Channel.MNS.MNA24.XTx11.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.CTx01.RawValue",1000,0.001,1,
"Channel.MNS.MNA24.STx01s.RawValue",1000,0.001,1,
"Channel.MNS.UPPSOD.TT504.RawValue",1000,0.001,1,
"Channel.MNS.UPPSOD.PT507.RawValue",1000,0.001,1,
"Channel.MNS.UPPSOD.GT507_1.RawValue",1000,0.001,1,
"Channel.MNS.UPPSOD.AT506.RawValue",1000,0.001,1,
"Channel.MNS.NPZ.PT502.RawValue",1000,0.001,1,
"Channel.MNS.NPZ.TT001.RawValue",1000,0.001,1,
"Channel.MNS.DG.KC.TT901.RawValue",1000,0.001,1,
"Channel.MNS.DG.USO11.TT903.RawValue",1000,0.001,1,
"Channel.MNS.DG.USO12.TT904.RawValue",1000,0.001,1,
"Channel.MNS.DG.USO13.TT905.RawValue",1000,0.001,1,
"Channel.MNS.DG.USO2.TT907.RawValue",1000,0.001,1,
"Channel.MNS.DG.USO3.TT908.RawValue",1000,0.001,1,
"Channel.MNS.DG.USO5.TT800.RawValue",1000,0.001,1,
"Channel.MNS.PB0013.RawValue",1000,0.001,1,
"Channel.MNS.PB0033.RawValue",1000,0.001,1,
"ChannelKK1.KK.CounterFromCSPA",500,0,1,
"ChannelKK1.KK.CounterToCSPA",500,0,1,
"ChannelKK2.KK.CounterFromCSPA",500,0,1,
"ChannelKK2.KK.CounterToCSPA",500,0,1,
