Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"SAR-KC-A8.Ports.ifAdminStatus-06","402965","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifAdminStatus-07","402969","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifAdminStatus-08","402973","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifAdminStatus-09","402977","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifAdminStatus-10","402981","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInErrors-01","403073","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ основной А1.6/1",""
"SAR-KC-A8.Ports.ifInErrors-02","403077","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (осн.) А8/4",""
"SAR-KC-A8.Ports.ifInErrors-03","403081","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ резервный А2.6/1",""
"SAR-KC-A8.Ports.ifInErrors-04","403085","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInErrors-05","403089","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. Панель оператора А12/1",""
"SAR-KC-A8.Ports.ifInErrors-06","403093","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInErrors-07","403097","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInErrors-08","403101","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInErrors-09","403105","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInErrors-10","403109","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInOctets-01","403201","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ основной А1.6/1",""
"SAR-KC-A8.Ports.ifInOctets-02","403205","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (осн.) А8/4",""
"SAR-KC-A8.Ports.ifInOctets-03","403209","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ резервный А2.6/1",""
"SAR-KC-A8.Ports.ifInOctets-04","403213","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInOctets-05","403217","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. Панель оператора А12/1",""
"SAR-KC-A8.Ports.ifInOctets-06","403221","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInOctets-07","403225","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInOctets-08","403229","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInOctets-09","403233","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifInOctets-10","403237","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifOperStatus-01","403329","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ основной А1.6/1",""
"SAR-KC-A8.Ports.ifOperStatus-02","403333","Long","","R/W","1000","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (осн.) А8/4",""
"SAR-KC-A8.Ports.ifOperStatus-03","403337","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ резервный А2.6/1",""
"SAR-KC-A8.Ports.ifOperStatus-04","403341","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifOperStatus-05","403345","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. Панель оператора А12/1",""
"SAR-KC-A8.Ports.ifOperStatus-06","403349","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifOperStatus-07","403353","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifOperStatus-08","403357","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifOperStatus-09","403361","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.Ports.ifOperStatus-10","403365","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A8.State.CPULoad","403457","Word","","R/W","2000","","","","","","","","","","Загрузка CPU",""
"SAR-KC-A8.State.CPUTemp","403461","DWord","","R/W","2000","","","","","","","","","","Температура процессора",""
"SAR-KC-A8.State.PowerState1","403465","Long","","R/W","2000","","","","","","","","","","Состояние ввода питания №1",""
"SAR-KC-A8.State.PowerState2","403469","Long","","R/W","2000","","","","","","","","","","Состояние ввода питания №2",""
"SAR-KC-A8.Property.FW","300721.20H","String","","R/W","2000","","","","","","","","","","Версия прошивки",""
"SAR-KC-A8.Property.IP","300757.28H","String","","R/W","2000","","","","","","","","","","IP адресс",""
"SAR-KC-A8.Property.Mask","300793.28H","String","","R/W","2000","","","","","","","","","","Маска",""
"SAR-KC-A8.Property.Name","300829.24H","String","","R/W","2000","","","","","","","","","","Наименование устройства",""
"SAR-KC-A8.Property.sysUpTime","403473","Long","","R/W","2000","","","","","","","","","","Время работы",""
"SAR-KC-A8.Status.Avar","403481.0","Boolean","","R/W","100","","","","","","","","","","Авария",""
"SAR-KC-A8.Status.Errors","403489","Short","","R/W","100","","","","","","","","","","Количество ошибок",""
"SAR-KC-A9.ObjName","400001","Long","","R/W","99999990","","","","","","","","","","МНС-2.Шкаф САР. Коммутатор ВУ (рез.) А9",""
"SAR-KC-A9.Status","404029","DWord","","R/W","1000","","","","","","","","","","Доступность устройства",""
"SAR-KC-A9.Ports.ifAdminStatus-01","403497","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ основной А1.7/1",""
"SAR-KC-A9.Ports.ifAdminStatus-02","403501","Long","","R/W","1000","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (рез.) А9/4",""
"SAR-KC-A9.Ports.ifAdminStatus-03","403505","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ резервный А2.7/1",""
"SAR-KC-A9.Ports.ifAdminStatus-04","403509","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifAdminStatus-05","403513","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. Панель оператора А12/2",""
"SAR-KC-A9.Ports.ifAdminStatus-06","403517","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifAdminStatus-07","403521","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifAdminStatus-08","403525","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifAdminStatus-09","403529","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifAdminStatus-10","403533","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInErrors-01","403625","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ основной А1.7/1",""
"SAR-KC-A9.Ports.ifInErrors-02","403629","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (рез.) А9/4",""
"SAR-KC-A9.Ports.ifInErrors-03","403633","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ резервный А2.7/1",""
"SAR-KC-A9.Ports.ifInErrors-04","403637","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInErrors-05","403641","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. Панель оператора А12/2",""
"SAR-KC-A9.Ports.ifInErrors-06","403645","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInErrors-07","403649","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInErrors-08","403653","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInErrors-09","403657","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInErrors-10","403661","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInOctets-01","403753","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ основной А1.7/1",""
"SAR-KC-A9.Ports.ifInOctets-02","403757","DWord","","R/W","1000","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (рез.) А9/4",""
"SAR-KC-A9.Ports.ifInOctets-03","403761","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ резервный А2.7/1",""
"SAR-KC-A9.Ports.ifInOctets-04","403765","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInOctets-05","403769","DWord","","R/W","1000","","","","","","","","","","МНС-2.САР. Панель оператора А12/2",""
"SAR-KC-A9.Ports.ifInOctets-06","403773","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInOctets-07","403777","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInOctets-08","403781","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInOctets-09","403785","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifInOctets-10","403789","DWord","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifOperStatus-01","403881","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ основной А1.7/1",""
"SAR-KC-A9.Ports.ifOperStatus-02","403885","Long","","R/W","1000","","","","","","","","","","МНС-2.КЦ. Коммутатор ВУ (рез.) А9/4",""
"SAR-KC-A9.Ports.ifOperStatus-03","403889","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. КЦ резервный А2.7/1",""
"SAR-KC-A9.Ports.ifOperStatus-04","403893","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifOperStatus-05","403897","Long","","R/W","1000","","","","","","","","","","МНС-2.САР. Панель оператора А12/2",""
"SAR-KC-A9.Ports.ifOperStatus-06","403901","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifOperStatus-07","403905","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifOperStatus-08","403909","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifOperStatus-09","403913","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.Ports.ifOperStatus-10","403917","Long","","R/W","1000","","","","","","","","","","резерв",""
"SAR-KC-A9.State.CPULoad","404009","Word","","R/W","2000","","","","","","","","","","Загрузка CPU",""
"SAR-KC-A9.State.CPUTemp","404013","DWord","","R/W","2000","","","","","","","","","","Температура процессора",""
"SAR-KC-A9.State.PowerState1","404017","Long","","R/W","2000","","","","","","","","","","Состояние ввода питания №1",""
"SAR-KC-A9.State.PowerState2","404021","Long","","R/W","2000","","","","","","","","","","Состояние ввода питания №2",""
"SAR-KC-A9.Property.FW","300865.20H","String","","R/W","2000","","","","","","","","","","Версия прошивки",""
"SAR-KC-A9.Property.IP","300901.28H","String","","R/W","2000","","","","","","","","","","IP адресс",""
"SAR-KC-A9.Property.Mask","300937.28H","String","","R/W","2000","","","","","","","","","","Маска",""
"SAR-KC-A9.Property.Name","300973.24H","String","","R/W","2000","","","","","","","","","","Наименование устройства",""
"SAR-KC-A9.Property.sysUpTime","404025","Long","","R/W","2000","","","","","","","","","","Время работы",""
"SAR-KC-A9.Status.Avar","404033.0","Boolean","","R/W","100","","","","","","","","","","Авария",""
"SAR-KC-A9.Status.Errors","404041","Short","","R/W","100","","","","","","","","","","Количество ошибок",""
"SC-A5.Status","408057","DWord","","R/W","1000","","","","","","","","","","Доступность устройства",""
"SC-A5.ObjName","400001","Long","","R/W","99999990","","","","","","","","","","Шкаф серверный. Коммутатор L3 ЛВС (осн.) A5",""
"SC-A5.Ports.ifAdminStatus-01","407577","Long","","R/W","1000","","","","","","","","","","ШС. Коммутатор с МСЭ (осн.) A3/1",""
"SC-A5.Ports.ifAdminStatus-02","407581","Long","","R/W","1000","","","","","","","","","","ШС. АРМ оператора МНС-2 (осн.) А20/1",""
"SC-A5.Ports.ifAdminStatus-03","407585","Long","","R/W","1000","","","","","","","","","","резерв",""
"SC-A5.Ports.ifAdminStatus-04","407589","Long","","R/W","1000","","","","","","","","","","резерв",""
"SC-A5.Ports.ifAdminStatus-05","407593","Long","","R/W","1000","","","","","","","","","","резерв",""
